id,name,source_type,source_name
283,Guild Herald,VENDOR,Vendor
475,Giraffe Calf,WILDPET,Pet Battle
445,Tiny Twister,WILDPET,Pet Battle
341,Lunar Lantern,WORLDEVENT,World Event
1256,Rascal-Bot,PROFESSION,Profession
78,Crimson Snake,VENDOR,Vendor
191,Clockwork Rocket Bot,WORLDEVENT,World Event
559,Crimson Geode,WILDPET,Pet Battle
630,Gilnean Raven,VENDOR,Vendor
448,Hare,WILDPET,Pet Battle
433,Spiky Lizard,WILDPET,Pet Battle
493,Shimmershell Snail,WILDPET,Pet Battle
1196,Sunfur Panda,QUEST,Quest
1197,Snowy Panda,QUEST,Quest
1198,Mountain Panda,QUEST,Quest
143,Red Dragonhawk Hatchling,VENDOR,Vendor
144,Silver Dragonhawk Hatchling,VENDOR,Vendor
43,Orange Tabby Cat,VENDOR,Vendor
124,Poley,PROMOTION,Promotion
119,Father Winter's Helper,WORLDEVENT,World Event
169,Dragon Kite,TCG,Trading Card Game
385,Mouse,WILDPET,Pet Battle
379,Squirrel,WILDPET,Pet Battle
404,Long-tailed Mole,WILDPET,Pet Battle
468,Creepy Crawly,WILDPET,Pet Battle
477,Gazelle Fawn,WILDPET,Pet Battle
157,Willy,WORLDEVENT,World Event
792,Jade Crane Chick,VENDOR,Vendor
677,Shy Bandicoon,WILDPET,Pet Battle
162,Sinister Squashling,WORLDEVENT,World Event
471,Robo-Chick,WILDPET,Pet Battle
83,Mechanical Chicken,QUEST,Quest
251,Toxic Wasteling,WORLDEVENT,World Event
460,Ruby Sapling,WILDPET,Pet Battle
421,Crimson Moth,WILDPET,Pet Battle
666,Micronax,ACHIEVEMENT,Achievement
215,Mechanopeep,VENDOR,Vendor
228,Grunty,PROMOTION,Promotion
239,Razzashi Hatchling,DROP,Drop
465,Ravager Hatchling,WILDPET,Pet Battle
708,Malayan Quillrat,WILDPET,Pet Battle
491,Sand Kitten,WILDPET,Pet Battle
489,Spawn of Onyxia,WILDPET,Pet Battle
203,Little Fawn,ACHIEVEMENT,Achievement
446,Jade Oozeling,WILDPET,Pet Battle
573,Sandy Petrel,WILDPET,Pet Battle
125,Speedy,WORLDEVENT,World Event
139,Red Moth,VENDOR,Vendor
478,Forest Moth,WILDPET,Pet Battle
711,Sifang Otter,WILDPET,Pet Battle
716,Amethyst Spiderling,WILDPET,Pet Battle
226,Curious Wolvar Pup,WORLDEVENT,World Event
262,De-Weaponized Mechanical Companion,PROFESSION,Profession
