id,name,source_type,source_name,faction
6,Brown Horse,VENDOR,Vendor,Alliance
7,Gray Wolf,VENDOR,Vendor,
8,White Stallion,VENDOR,Vendor,
9,Black Stallion,VENDOR,Vendor,Alliance
11,Pinto,VENDOR,Vendor,Alliance
12,Black Wolf,VENDOR,Vendor,
13,Red Wolf,VENDOR,Vendor,
14,Timber Wolf,VENDOR,Vendor,Horde
15,Winter Wolf,VENDOR,Vendor,
17,Felsteed,QUEST,Quest,
18,Chestnut Mare,VENDOR,Vendor,Alliance
19,Dire Wolf,VENDOR,Vendor,Horde
20,Brown Wolf,VENDOR,Vendor,Horde
21,Gray Ram,VENDOR,Vendor,Alliance
22,Black Ram,VENDOR,Vendor,
24,White Ram,VENDOR,Vendor,Alliance
25,Brown Ram,VENDOR,Vendor,Alliance
26,Striped Frostsaber,VENDOR,Vendor,Alliance
27,Emerald Raptor,VENDOR,Vendor,Horde
28,Skeletal Horse,VENDOR,Vendor,
31,Spotted Frostsaber,VENDOR,Vendor,Alliance
32,Tiger,ACHIEVEMENT,Achievement,
34,Striped Nightsaber,VENDOR,Vendor,Alliance
35,Ivory Raptor,VENDOR,Vendor,
36,Turquoise Raptor,VENDOR,Vendor,Horde
38,Violet Raptor,VENDOR,Vendor,Horde
39,Red Mechanostrider,VENDOR,Vendor,Alliance
40,Blue Mechanostrider,VENDOR,Vendor,Alliance
41,Warhorse,QUEST,Quest,Alliance
42,White Mechanostrider Mod B,VENDOR,Vendor,Alliance
43,Green Mechanostrider,VENDOR,Vendor,
45,Black Nightsaber,VENDOR,Vendor,Alliance
46,Ancient Frostsaber,VENDOR,Vendor,Alliance
50,Red Wolf,VENDOR,Vendor,Horde
51,Arctic Wolf,DROP,Drop,Horde
52,Palomino,VENDOR,Vendor,Alliance
53,White Stallion,VENDOR,Vendor,Alliance
54,Mottled Red Raptor,VENDOR,Vendor,Horde
55,Winterspring Frostsaber,QUEST,Quest,Alliance
56,Ivory Raptor,VENDOR,Vendor,Horde
57,Green Mechanostrider,VENDOR,Vendor,Alliance
58,Unpainted Mechanostrider,VENDOR,Vendor,Alliance
62,Icy Blue Mechanostrider Mod A,VENDOR,Vendor,Alliance
63,Frost Ram,VENDOR,Vendor,Alliance
64,Black Ram,VENDOR,Vendor,Alliance
65,Red Skeletal Horse,VENDOR,Vendor,Horde
66,Blue Skeletal Horse,VENDOR,Vendor,Horde
67,Brown Skeletal Horse,VENDOR,Vendor,Horde
68,Green Skeletal Warhorse,VENDOR,Vendor,Horde
69,Rivendare's Deathcharger,DROP,Drop,
70,Riding Kodo,VENDOR,Vendor,
71,Gray Kodo,VENDOR,Vendor,Horde
72,Brown Kodo,VENDOR,Vendor,Horde
73,Green Kodo,VENDOR,Vendor,Horde
74,Teal Kodo,VENDOR,Vendor,Horde
75,Black War Steed,VENDOR,Vendor,Alliance
76,Black War Kodo,VENDOR,Vendor,Horde
77,Black Battlestrider,VENDOR,Vendor,Alliance
78,Black War Ram,VENDOR,Vendor,Alliance
79,Black War Raptor,VENDOR,Vendor,Horde
80,Red Skeletal Warhorse,VENDOR,Vendor,Horde
81,Black War Tiger,VENDOR,Vendor,Alliance
82,Black War Wolf,VENDOR,Vendor,Horde
83,Dreadsteed,QUEST,Quest,
84,Charger,QUEST,Quest,Alliance
85,Swift Mistsaber,VENDOR,Vendor,Alliance
87,Swift Frostsaber,VENDOR,Vendor,Alliance
88,Swift Yellow Mechanostrider,VENDOR,Vendor,Alliance
89,Swift White Mechanostrider,VENDOR,Vendor,Alliance
90,Swift Green Mechanostrider,VENDOR,Vendor,Alliance
91,Swift Palomino,VENDOR,Vendor,Alliance
92,Swift White Steed,VENDOR,Vendor,Alliance
93,Swift Brown Steed,VENDOR,Vendor,Alliance
94,Swift Brown Ram,VENDOR,Vendor,Alliance
136,Swift Red Wind Rider,VENDOR,Vendor,Horde
137,Swift Red Gryphon,VENDOR,Vendor,Alliance
138,Swift Green Gryphon,VENDOR,Vendor,Alliance
139,Swift Purple Gryphon,VENDOR,Vendor,Alliance
140,Swift Green Wind Rider,VENDOR,Vendor,Horde
141,Swift Yellow Wind Rider,VENDOR,Vendor,Horde
142,Swift Purple Wind Rider,VENDOR,Vendor,Horde
145,Blue Mechanostrider,VENDOR,Vendor,
146,Swift Pink Hawkstrider,VENDOR,Vendor,Horde
147,Brown Elekk,VENDOR,Vendor,Alliance
149,Thalassian Charger,QUEST,Quest,Horde
150,Thalassian Warhorse,QUEST,Quest,Horde
151,Dark War Talbuk,VENDOR,Vendor,
152,Red Hawkstrider,VENDOR,Vendor,Horde
153,Cobalt War Talbuk,VENDOR,Vendor,
154,White War Talbuk,VENDOR,Vendor,
155,Silver War Talbuk,VENDOR,Vendor,
1329,Springfur Alpaca,QUEST,Quest,
156,Tan War Talbuk,VENDOR,Vendor,
1327,Ren's Stalwart Hound,DROP,Drop,
1328,Xinlao,DROP,Drop,
157,Purple Hawkstrider,VENDOR,Vendor,Horde
158,Blue Hawkstrider,VENDOR,Vendor,Horde
159,Black Hawkstrider,VENDOR,Vendor,Horde
160,Swift Green Hawkstrider,VENDOR,Vendor,Horde
161,Swift Purple Hawkstrider,VENDOR,Vendor,Horde
162,Swift Warstrider,VENDOR,Vendor,Horde
163,Gray Elekk,VENDOR,Vendor,Alliance
164,Purple Elekk,VENDOR,Vendor,Alliance
165,Great Green Elekk,VENDOR,Vendor,Alliance
166,Great Blue Elekk,VENDOR,Vendor,Alliance
167,Great Purple Elekk,VENDOR,Vendor,Alliance
168,Fiery Warhorse,DROP,Drop,
169,Swift Nether Drake,ACHIEVEMENT,Achievement,
170,Cobalt Riding Talbuk,VENDOR,Vendor,
171,Dark Riding Talbuk,VENDOR,Vendor,
172,Silver Riding Talbuk,VENDOR,Vendor,
173,Tan Riding Talbuk,VENDOR,Vendor,
1319,Malevolent Drone,DROP,Drop,
1320,Shadowbarb Drone,QUEST,Quest,
1321,Wicked Swarmer,VENDOR,Vendor,
174,White Riding Talbuk,VENDOR,Vendor,
176,Green Riding Nether Ray,VENDOR,Vendor,
177,Red Riding Nether Ray,VENDOR,Vendor,
178,Purple Riding Nether Ray,VENDOR,Vendor,
179,Silver Riding Nether Ray,VENDOR,Vendor,
180,Blue Riding Nether Ray,VENDOR,Vendor,
183,Ashes of Al'ar,DROP,Drop,
185,Raven Lord,DROP,Drop,
186,Onyx Netherwing Drake,QUEST,Quest,
187,Azure Netherwing Drake,QUEST,Quest,
188,Cobalt Netherwing Drake,QUEST,Quest,
189,Purple Netherwing Drake,QUEST,Quest,
190,Veridian Netherwing Drake,QUEST,Quest,
191,Violet Netherwing Drake,QUEST,Quest,
196,Spectral Tiger,TCG,Trading Card Game,
197,Swift Spectral Tiger,TCG,Trading Card Game,
199,Amani War Bear,DROP,Drop,
201,Brewfest Ram,WORLDEVENT,World Event,
855,Darkwater Skate,VENDOR,Vendor,
905,Leywoven Flying Carpet,DROP,Drop,
202,Swift Brewfest Ram,DROP,Drop,
203,Cenarion War Hippogryph,VENDOR,Vendor,
204,Turbo-Charged Flying Machine,PROFESSION,Profession,
205,Flying Machine,PROFESSION,Profession,
206,Merciless Nether Drake,ACHIEVEMENT,Achievement,
207,Merciless Nether Drake,ACHIEVEMENT,Achievement,
211,X-51 Nether-Rocket,TCG,Trading Card Game,
212,X-51 Nether-Rocket X-TREME,TCG,Trading Card Game,
95,Swift Gray Ram,VENDOR,Vendor,Alliance
96,Swift White Ram,VENDOR,Vendor,Alliance
97,Swift Blue Raptor,VENDOR,Vendor,Horde
98,Swift Olive Raptor,VENDOR,Vendor,Horde
99,Swift Orange Raptor,VENDOR,Vendor,Horde
100,Purple Skeletal Warhorse,VENDOR,Vendor,Horde
101,Great White Kodo,VENDOR,Vendor,Horde
102,Great Gray Kodo,VENDOR,Vendor,Horde
103,Great Brown Kodo,VENDOR,Vendor,Horde
104,Swift Brown Wolf,VENDOR,Vendor,Horde
105,Swift Timber Wolf,VENDOR,Vendor,Horde
106,Swift Gray Wolf,VENDOR,Vendor,Horde
107,Swift Stormsaber,VENDOR,Vendor,Alliance
108,Frostwolf Howler,VENDOR,Vendor,Horde
109,Stormpike Battle Charger,VENDOR,Vendor,Alliance
110,Swift Razzashi Raptor,DROP,Drop,
111,Swift Zulian Tiger,DROP,Drop,
116,Black Qiraji Battle Tank,DROP,Drop,
117,Blue Qiraji Battle Tank,DROP,Drop,
118,Red Qiraji Battle Tank,DROP,Drop,
119,Yellow Qiraji Battle Tank,DROP,Drop,
120,Green Qiraji Battle Tank,DROP,Drop,
121,Black Qiraji Battle Tank,DROP,Drop,
122,Black Qiraji Battle Tank,DROP,Drop,
123,Nether Drake,VENDOR,Vendor,
125,Riding Turtle,TCG,Trading Card Game,
129,Golden Gryphon,VENDOR,Vendor,Alliance
130,Ebon Gryphon,VENDOR,Vendor,Alliance
131,Snowy Gryphon,VENDOR,Vendor,Alliance
132,Swift Blue Gryphon,VENDOR,Vendor,Alliance
133,Tawny Wind Rider,VENDOR,Vendor,Horde
134,Blue Wind Rider,VENDOR,Vendor,Horde
135,Green Wind Rider,DROP,Drop,Horde
213,Swift White Hawkstrider,DROP,Drop,
1322,Wriggling Parasite,ACHIEVEMENT,Achievement,
1324,Elusive Quickhoof,DISCOVERY,Discovery,
